0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
1,0
0,0
3,0
0,0
0,0
0,0
1,0
1,0
1,0
3,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
1,0
0,0
1,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
19,0
0,0
0,0
18,0
0,0
6,0
1,0
6,0
3,1
20,1
14,4
22,3
34,2
74,1
105,2
95,3
121,4
200,5
271,2
287,2
351,10
511,7
777,10
823,12
887,16
1766,23
2988,42
4835,0
5374,110
7123,80
8459,131
11236,119
8789,211
13963,249
16797,246
18695,411
19979,484
18360,318
21595,661
24998,909
27103,1059
28819,915
32425,1104
34272,1344
25398,1146
30561,1342
30613,1906
33323,1922
33901,1873
35527,2087
28391,1831
27620,1500
25023,1541
26922,2408
30148,4928
31667,2299
30833,3770
32922,1856
24601,1772
28065,1857
37289,2524
17588,1721
26543,3179
21352,1054
48529,2172
26857,1687
22541,1369
24132,2110
27326,2611
29917,2040
33955,2062
29288,1317
24972,1297
22593,1252
23841,2144
24128,2353
28369,2239
26957,1510
25612,1614
20258,734
18117,1156
22048,1703
20782,1746
27143,1773
25508,1662
24487,1186
18873,808
21841,791
19970,1568
23285,1518
25434,1263
24147,1305
21236,1080
20568,633
19064,500
18910,696
18721,1526
21817,1175
25337,1219
23297,945
19807,602
